User ID,Timestamp,Page Visited
078d1651-b1a5-4251-81ee-3710aa444617,2023-11-04 10:40:00,Category Page
1bfefed7-2ae9-460d-ad9f-4f1afb969208,2023-05-21 06:19:00,Product Page
79773c69-c21b-4100-ab91-ad5c83a6f665,2023-10-03 23:06:00,Product Page
470f1d8d-7e27-46e0-b1c1-0b2345003c1e,2023-11-21 03:04:00,Checkout Page
f1104602-cdc7-49f9-8d80-06a78e3b0d98,2023-06-03 03:00:00,Confirmation Page
d3a4e594-9bc9-4912-a939-4a7c87f26a35,2023-01-15 17:45:00,Homepage
8218b924-4807-489f-801e-63aaedd5944f,2023-04-05 06:26:00,Homepage
c46b8571-e4d5-4067-aa04-9a3be0cb6ebe,2023-12-18 12:21:00,Product Page
5ecfc68e-e744-4717-a077-26cf95cb7052,2023-07-06 03:35:00,Category Page
243c3c01-4f4d-4f61-9c50-e305b2728468,2023-06-26 22:06:00,Checkout Page
743f4642-026a-4313-8c3b-be32f049599f,2023-05-28 10:22:00,Product Page
21918289-b737-4f90-ac2e-849f399559fc,2023-12-01 07:39:00,Category Page
11138b0e-f0fa-423a-87e3-4f227143cb9f,2023-10-13 08:56:00,Confirmation Page
46136eb4-f958-4e1c-882b-93db2271f9c5,2023-10-30 03:21:00,Homepage
d7af41ea-efdd-4384-a11c-e238f6bb2b7f,2023-04-21 10:23:00,Confirmation Page
cdc72f4e-c8e4-4c9c-85fb-c3f93bd28436,2023-12-19 08:45:00,Checkout Page
3a0e0534-320f-41f9-a969-ac35395615e8,2023-06-23 12:34:00,Homepage
d3f4e952-08d7-4abb-a585-a4deb7b26c05,2023-05-11 08:40:00,Homepage
5ca99f37-7912-4f11-803d-6fd6b0535953,2023-08-01 09:40:00,Confirmation Page
cc7ef450-70ef-4616-9193-196baea095b2,2023-11-21 15:26:00,Confirmation Page
9222c72d-11c8-4ba8-96f6-047833f897ca,2023-11-27 15:12:00,Confirmation Page
b63baea5-5b96-4918-b448-fe5105af5fb9,2023-03-21 12:46:00,Category Page
2a9f3b26-cb66-4191-aeba-3f43ccc78468,2023-07-03 18:01:00,Confirmation Page
44ad91be-1beb-47e2-a658-2fe7531a39e2,2023-02-20 16:59:00,Confirmation Page
6af4b786-abb2-4a8a-b006-a9a845a93679,2023-04-13 14:44:00,Checkout Page
1e0dd9d7-12c0-4c5e-9c47-912d78c8ba89,2023-02-20 21:07:00,Confirmation Page
7e4af94b-34f5-47ac-aa05-ef64ed5e18ad,2023-10-03 04:19:00,Product Page
9a39074b-577b-4e82-a38f-d4b1c4e12c97,2023-02-04 12:38:00,Product Page
905a49fa-3479-4b31-b643-1b9d30f393f3,2023-08-14 03:23:00,Checkout Page
7210c1f4-8843-40e8-a67c-a5457e728b34,2023-10-19 01:17:00,Product Page
ca5df9b9-3294-4c68-b49d-f71803c6a30e,2023-04-02 04:57:00,Product Page
077eeb9d-a0ff-45b1-98f1-1878f698fb2b,2023-12-26 10:48:00,Checkout Page
6a6c4fa3-2998-434d-9d02-954e3eb3e038,2023-11-28 05:29:00,Homepage
0345df01-6566-49e6-83b9-b10baa9b8354,2023-07-13 21:36:00,Category Page
5440cd72-1097-45a4-9e42-8dfcb5d68a5e,2023-12-24 19:42:00,Product Page
df774b19-4b8a-4881-b623-764e60ddced9,2023-09-14 17:53:00,Homepage
4dcb9784-2b97-4278-af65-14c0a44a5d7c,2023-10-22 23:47:00,Checkout Page
6db02a0d-fe76-4ad6-a453-6ce2e65db01b,2023-08-08 03:30:00,Checkout Page
68971201-c383-4cf9-b0f7-14f2710e0eb6,2023-11-25 11:14:00,Homepage
bf5d51b5-0d9b-4137-ae35-b61f502d1403,2023-02-23 12:10:00,Homepage
192f41b7-5817-4fca-a530-217722134ac1,2023-04-23 22:06:00,Homepage
145cd5f7-e16b-4587-ab7c-c52998aaa526,2023-02-05 23:00:00,Homepage
36cf0c50-b10b-4c8a-a17f-3c1591e6ab0b,2023-09-23 17:22:00,Checkout Page
3d43c49b-e720-4e35-93cb-bd1414938896,2023-01-27 20:22:00,Confirmation Page
b1ffb896-c24d-4eff-a2e0-44bd7a8074fb,2023-11-24 06:10:00,Checkout Page
6f2241f1-028e-4c60-a104-424c679a4446,2023-11-06 15:33:00,Homepage
298c2342-18f6-4f15-bba4-4b578aceea32,2023-09-07 00:44:00,Checkout Page
d9fb89f9-74dd-4798-b39b-10f1513d1d9e,2023-05-01 05:18:00,Checkout Page
f85bc9df-6c1f-4667-aefd-79a44a41b754,2023-06-21 21:38:00,Category Page
6f4cd588-4fbd-405f-a002-b8f1b1e70402,2023-07-23 19:43:00,Product Page
b621655e-54d5-4a34-80c5-1e812970ce88,2023-02-06 15:56:00,Product Page
e26b36f7-15e1-436b-949e-0bf14bfa40f7,2023-05-09 19:28:00,Category Page
50e2eb54-1e3d-4ce6-8740-447b8a3871e0,2023-06-08 01:51:00,Homepage
57da37fe-cb02-4cf2-b229-4c1248dc9f6d,2023-04-26 02:58:00,Checkout Page
54b8671d-1fea-46ee-aba6-e2d2d5a1f818,2023-08-11 10:00:00,Homepage
cacf3a13-8e2f-4ea2-86b2-7d51076c4816,2023-08-22 04:06:00,Confirmation Page
eb71dd96-b737-49e7-954c-64f6ba2e19c0,2023-11-29 10:00:00,Homepage
fff2e3fc-07ce-48f6-b282-97a257a9bafa,2023-03-16 10:45:00,Homepage
f500caff-805f-4a2b-9326-9632a4c0bf90,2023-12-18 22:20:00,Product Page
96ebfd17-758f-4f10-b558-8b6593ef2e9f,2023-07-21 04:01:00,Category Page
81ccf5ad-4262-426e-b74b-5e1822c8a4a0,2023-06-23 16:10:00,Category Page
